datetime,RH (%),WD,WS (m/s),cloud_coverage,dew_point (degC),irradiation (MJ/m2),local_press (hPa),precipitation (mm),sea-level pressure (hPa),sunlight_duration (h),temperature (degC),vapor_press (hPa),visibility (km)
2016-01-01 00:00:00,83,NW,2,,2.6,,1018.4,,1021.4,,5.2,7.3,
2016-01-01 01:00:00,76,NW,2.4,,1.3,,1018.8,,1021.8,,5.2,6.7,
2016-01-01 02:00:00,72,NNW,3,,0.4,,1019.3,,1022.3,,5,6.3,
2016-01-01 03:00:00,74,NNE,1.9,1,-0.2,,1019.8,,1022.8,,4,6,15
2016-01-01 04:00:00,74,NE,2,,-0.3,,1020.3,,1023.3,,3.9,6,
2016-01-01 05:00:00,62,N,2.5,,-1.6,,1021,,1024,,5.1,5.4,
2016-01-01 06:00:00,60,NW,2.8,0,-2.3,,1021.7,,1024.7,,4.8,5.2,20
2016-01-01 07:00:00,51,NNW,3,,-4.3,0,1022.5,,1025.5,0,5,4.4,
2016-01-01 08:00:00,50,NNW,3.6,,-3.8,0.26,1023.1,,1026.1,0.6,5.8,4.6,
2016-01-01 09:00:00,43,NNW,4.5,0,-4.2,0.91,1023.7,,1026.7,1,7.6,4.5,40
2016-01-01 10:00:00,34,NW,5.4,,-5.5,1.44,1024,,1027,1,9.6,4.1,
2016-01-01 11:00:00,30,NNW,2.9,,-6.4,1.82,1023.3,,1026.3,1,10.4,3.8,
2016-01-01 12:00:00,26,NNW,3.3,0,-7.8,1.98,1022.4,,1025.4,1,11,3.4,40
2016-01-01 13:00:00,27,NNW,2.2,,-6.8,1.92,1021.8,,1024.8,1,11.5,3.7,
2016-01-01 14:00:00,26,NW,3.4,,-7.2,1.65,1021.7,,1024.7,1,11.6,3.6,
2016-01-01 15:00:00,29,NW,1.7,0+,-6.5,1.17,1022,,1025,1,10.8,3.8,25
2016-01-01 16:00:00,33,NW,3.1,,-5.6,0.58,1022.6,,1025.6,1,9.9,4,
2016-01-01 17:00:00,37,NW,2,,-5.5,0.07,1023.2,,1026.2,0.4,8.3,4.1,
2016-01-01 18:00:00,36,NNW,1.9,1,-6,0,1023.6,,1026.6,,8.2,3.9,20
2016-01-01 19:00:00,34,NNW,1.5,,-6.4,,1024.1,,1027.1,,8.6,3.8,
2016-01-01 20:00:00,36,NNW,2.5,,-6,,1024.2,,1027.2,,8.2,3.9,
2016-01-01 21:00:00,42,WNW,2.6,9,-5.1,,1024.1,,1027.1,,6.9,4.2,20
2016-01-01 22:00:00,40,NNW,1.7,,-5.5,,1023.9,,1026.9,,7.2,4.1,
2016-01-01 23:00:00,47,NNW,1.6,,-4.9,,1023.5,,1026.5,,5.5,4.2,
2016-01-02 00:00:00,48,NW,1.7,,-4.7,,1022.8,,1025.8,,5.4,4.3,
2016-01-02 01:00:00,49,N,1.9,,-4.5,,1022.7,,1025.7,,5.3,4.4,
2016-01-02 02:00:00,51,NW,3.1,,-4.4,,1022.9,,1025.9,,4.9,4.4,
2016-01-02 03:00:00,52,NNW,1.8,7,-4.6,,1022.2,,1025.2,,4.4,4.4,20
2016-01-02 04:00:00,51,NW,3.7,,-5,,1022.2,,1025.2,,4.2,4.2,
2016-01-02 05:00:00,48,NNW,2.5,,-5.9,,1021.9,,1024.9,,4.1,3.9,
2016-01-02 06:00:00,50,NW,1.8,10-,-5.5,,1021.7,,1024.7,,4,4.1,20
2016-01-02 07:00:00,57,WNW,2.5,,-4.8,0,1021.6,,1024.7,0,2.9,4.3,
2016-01-02 08:00:00,51,WNW,1.9,,-5.4,0.18,1021.3,,1024.3,0.2,3.8,4.1,
2016-01-02 09:00:00,49,NW,1.2,10-,-4.5,0.59,1021.3,,1024.3,0.4,5.3,4.4,40
2016-01-02 10:00:00,41,NNE,0.6,,-4.7,1.07,1020.7,,1023.7,0.6,7.7,4.3,
2016-01-02 11:00:00,37,S,2.6,,-3.6,1.86,1019.3,,1022.3,1,10.5,4.7,
2016-01-02 12:00:00,38,S,3.1,8,-2.1,2.25,1017.7,,1020.6,1,11.7,5.2,40
2016-01-02 13:00:00,40,SSW,2.2,,-0.5,2.11,1016.3,,1019.2,1,12.7,5.9,
2016-01-02 14:00:00,38,WSW,0.9,,-0.7,1.75,1015.7,,1018.6,1,13.3,5.8,
2016-01-02 15:00:00,40,SSE,2,0+,-0.7,1.17,1015.5,,1018.4,1,12.5,5.8,30
2016-01-02 16:00:00,48,S,1,,0.3,0.55,1015.4,,1018.3,1,10.8,6.2,
2016-01-02 17:00:00,56,E,0.7,,0.1,0.06,1015.6,,1018.6,0.3,8.3,6.1,
2016-01-02 18:00:00,56,ENE,2,0,-0.3,0,1016,,1019,,7.9,6,20
2016-01-02 19:00:00,56,ENE,1.1,,-0.3,,1016.2,,1019.2,,7.9,6,
2016-01-02 20:00:00,59,NW,0.5,,-0.3,,1016.4,,1019.4,,7.2,6,
2016-01-02 21:00:00,62,WNW,1.1,0,0.1,,1016.1,,1019.1,,6.9,6.2,20
2016-01-02 22:00:00,65,NW,1,,0.3,,1015.9,,1018.9,,6.4,6.2,
